date,close,dayRange,openCloseRange,emaDiffPercentage,lowFastEmaPercentage,highFastEmaPercentage,emaAppreciation,netPriceAppreciation
2016/12/8,5417.36,0.68,0.43,0.52,0.87,1.55,0.28,
2016/12/9,5444.50,0.42,0.15,0.62,1.26,1.69,0.32,
2016/12/12,5412.54,0.75,-0.29,0.65,0.49,1.24,0.16,
2016/12/13,5463.83,1.03,0.56,0.73,0.86,1.90,0.30,
2016/12/14,5436.67,0.93,-0.53,0.74,0.61,1.54,0.16,
2016/12/15,5456.85,0.84,0.25,0.77,0.66,1.51,0.20,
2016/12/16,5437.16,0.90,-0.56,0.75,0.31,1.21,0.10,
2016/12/19,5457.44,0.86,0.30,0.76,0.36,1.22,0.15,
2016/12/20,5483.94,0.32,0.19,0.79,0.80,1.13,0.21,
2016/12/21,5471.43,0.38,-0.20,0.78,0.55,0.93,0.13,
2016/12/22,5447.42,0.72,-0.45,0.73,-0.09,0.63,0.04,
2016/12/23,5462.69,0.38,0.38,0.70,0.00,0.39,0.08,
2016/12/27,5487.44,0.78,0.30,0.71,0.37,1.16,0.14,1.29400
2017/1/5,5487.94,0.58,0.25,0.44,0.29,0.86,0.14,
2017/1/6,5521.06,0.98,0.40,0.50,0.40,1.39,0.22,
2017/1/9,5531.82,0.43,0.08,0.56,0.81,1.25,0.22,
2017/1/10,5551.82,0.65,0.28,0.63,0.77,1.43,0.24,
2017/1/11,5563.65,0.73,0.23,0.68,0.46,1.19,0.24,
2017/1/12,5547.49,0.98,0.09,0.69,-0.18,0.79,0.15,
2017/1/13,5574.12,0.49,0.30,0.73,0.71,1.20,0.20,
2017/1/17,5538.73,0.54,-0.30,0.69,0.10,0.64,0.06,
2017/1/18,5555.65,0.38,0.16,0.68,0.14,0.52,0.10,
2017/1/19,5540.08,0.78,-0.37,0.64,-0.02,0.76,0.04,
2017/1/20,5555.33,0.58,-0.03,0.62,0.15,0.73,0.08,
2017/1/23,5552.94,0.75,0.11,0.60,-0.26,0.49,0.06,
2017/1/24,5600.96,0.86,0.59,0.64,0.20,1.06,0.19,
2017/1/25,5656.34,0.43,0.36,0.73,1.23,1.67,0.33,
2017/1/26,5655.18,0.39,-0.20,0.80,1.20,1.59,0.27,
2017/1/27,5660.78,0.42,-0.07,0.84,0.89,1.31,0.24,
2017/1/30,5613.71,1.03,-0.39,0.79,-0.33,0.69,0.06,
2017/1/31,5614.79,0.70,0.39,0.75,-0.43,0.27,0.05,
2017/2/1,5642.65,0.73,-0.21,0.74,0.25,0.98,0.13,
2017/2/2,5636.20,0.71,0.16,0.72,0.08,0.78,0.09,
2017/2/3,5666.77,0.34,0.28,0.73,0.47,0.81,0.16,
2017/2/6,5663.55,0.32,0.12,0.73,0.39,0.71,0.13,
2017/2/7,5674.22,0.44,-0.01,0.73,0.51,0.95,0.14,
2017/2/8,5682.45,0.67,0.34,0.73,0.10,0.77,0.14,
2017/2/9,5715.18,0.66,0.48,0.77,0.52,1.19,0.21,
2017/2/10,5734.13,0.45,0.14,0.81,0.86,1.32,0.23,
2017/2/13,5763.96,0.33,0.19,0.87,1.18,1.52,0.28,
2017/2/14,5782.57,0.60,0.45,0.93,0.84,1.44,0.29,
2017/2/15,5819.44,0.78,0.72,1.01,0.98,1.77,0.35,
2017/2/16,5814.90,0.66,-0.14,1.05,1.05,1.72,0.27,
2017/2/17,5838.58,0.65,0.54,1.10,0.82,1.48,0.30,
2017/2/21,5865.95,0.35,0.27,1.16,1.31,1.66,0.33,
2017/2/22,5860.63,0.28,0.05,1.17,1.06,1.34,0.26,
2017/2/23,5835.51,0.99,-0.53,1.14,0.25,1.24,0.14,
2017/2/24,5845.31,0.77,0.74,1.11,-0.05,0.72,0.14,
2017/2/27,5861.90,0.60,0.46,1.09,0.24,0.84,0.17,
2017/2/28,5825.44,0.65,-0.47,1.01,0.03,0.69,0.04,
2017/3/1,5904.03,0.78,0.50,1.04,0.61,1.40,0.25,
2017/3/2,5861.22,0.70,-0.61,0.99,0.36,1.06,0.09,
2017/3/3,5870.75,0.50,0.28,0.95,0.01,0.51,0.10,6.97500
2017/3/13,5875.78,0.28,0.21,0.62,0.20,0.48,0.09,
2017/3/14,5856.82,0.49,-0.06,0.57,-0.32,0.17,0.02,
2017/3/15,5900.05,0.91,0.51,0.59,-0.01,0.90,0.14,
2017/3/16,5900.76,0.41,-0.12,0.59,0.37,0.78,0.12,
2017/3/17,5901.00,0.38,0.04,0.59,0.32,0.70,0.10,
2017/3/20,5901.53,0.46,0.05,0.58,0.20,0.66,0.09,0.438200
2017/9/28,6453.45,0.44,0.24,0.29,0.04,0.48,0.09,
2017/9/29,6495.96,0.67,0.54,0.35,0.28,0.95,0.18,
2017/1/;2,6516.72,0.66,0.16,0.42,0.53,1.19,0.21,
2017/1/;3,6531.71,0.35,0.12,0.48,0.71,1.06,0.21,
2017/1/;4,6534.63,0.51,0.19,0.53,0.58,1.09,0.18,
2017/1/;5,6585.36,0.60,0.50,0.61,0.83,1.44,0.28,
2017/1/;6,6590.18,0.36,0.35,0.68,0.87,1.23,0.25,
2017/1/;9,6579.73,0.41,-0.27,0.70,0.78,1.19,0.18,
2017/1/;10,6587.25,0.71,-0.23,0.72,0.45,1.16,0.17,
2017/1/;11,6603.55,0.40,0.26,0.74,0.51,0.91,0.18,
2017/1/;12,6591.51,0.41,-0.05,0.73,0.52,0.94,0.12,
2017/1/;13,6605.80,0.22,-0.11,0.73,0.63,0.84,0.14,
2017/1/;16,6624.00,0.39,0.02,0.75,0.54,0.93,0.16,
2017/1/;17,6623.66,0.23,0.03,0.74,0.50,0.73,0.13,
2017/1/;18,6624.22,0.33,-0.15,0.73,0.39,0.73,0.11,
2017/1/;19,6605.07,0.71,0.32,0.69,-0.49,0.22,0.04,
2017/1/;20,6629.05,0.26,-0.07,0.67,0.39,0.65,0.10,2.72100
2017/8/30,6368.31,1.12,0.95,-0.02,0.10,1.22,0.23,
2017/8/31,6428.66,0.81,0.67,0.14,1.02,1.83,0.35,
2017/9/1,6435.33,0.50,-0.11,0.28,1.25,1.75,0.31,
2017/9/5,6375.57,1.45,-0.61,0.30,-0.16,1.29,0.10,
2017/9/6,6393.31,0.81,-0.02,0.33,0.05,0.86,0.13,
2017/9/7,6397.87,0.52,-0.08,0.36,0.30,0.83,0.12,
2017/9/8,6360.19,0.57,-0.46,0.33,-0.09,0.49,0.00,
2017/9/11,6432.26,0.44,0.33,0.39,0.60,1.05,0.19,
2017/9/12,6454.28,0.40,0.08,0.46,0.68,1.08,0.21,
2017/9/13,6460.19,0.42,0.30,0.51,0.54,0.97,0.19,
2017/9/14,6429.08,0.49,-0.16,0.50,0.32,0.81,0.08,
2017/9/15,6448.47,0.70,0.35,0.51,0.14,0.83,0.12,
2017/9/18,6454.64,0.61,-0.08,0.52,0.31,0.93,0.11,
2017/9/19,6461.32,0.33,-0.07,0.53,0.33,0.66,0.11,1.46100
2017/1/;27,6701.26,1.24,1.00,0.49,0.33,1.57,0.29,
2017/1/;30,6698.96,0.75,0.08,0.56,0.86,1.62,0.24,
2017/1/;31,6727.67,0.48,0.21,0.64,1.02,1.50,0.27,
2017/1/;1,6716.53,1.02,-0.62,0.68,0.61,1.63,0.20,
2017/1/;2,6714.94,0.64,0.08,0.70,0.24,0.87,0.16,
2017/1/;3,6764.44,0.78,0.41,0.76,0.51,1.29,0.26,
