date,close,dayRange,openCloseRange,emaDiffPercentage,lowFastEmaPercentage,highFastEmaPercentage,emaAppreciation,netPriceAppreciation
2023/4/11,12031.88,0.66,-0.40,1.00,0.10,0.77,0.05,0
2023/1/9,10635.65,1.77,-0.25,-1.10,0.93,2.72,0.22,
2023/1/10,10742.63,1.46,1.27,-0.83,0.30,1.76,0.35,
2023/1/11,10931.67,1.58,1.27,-0.48,1.34,2.94,0.59,
2023/1/12,11001.10,2.14,0.29,-0.15,1.06,3.22,0.60,
2023/1/13,11079.16,1.69,1.58,0.16,1.40,3.11,0.62,
2023/1/17,11095.11,1.10,0.23,0.40,2.01,3.13,0.54,
2023/1/18,10957.01,2.48,-1.92,0.47,1.11,3.61,0.23,
2023/1/19,10852.27,1.18,-0.35,0.45,-0.29,0.89,0.03,
2023/1/20,11140.43,2.37,1.98,0.63,-0.01,2.36,0.47,
2023/1/23,11364.41,2.35,1.72,0.92,1.62,4.01,0.73,
2023/1/24,11334.27,0.85,0.28,1.10,2.31,3.18,0.56,
2023/1/25,11313.36,2.39,1.50,1.21,-0.05,2.34,0.43,
2023/1/26,11512.41,1.54,0.47,1.41,1.73,3.30,0.66,
2023/1/27,11621.71,1.93,1.32,1.61,2.17,4.14,0.71,
2023/1/30,11393.81,1.45,-1.03,1.59,1.19,2.65,0.25,
2023/1/31,11584.55,1.65,1.63,1.67,0.78,2.44,0.49,
2023/2/1,11816.32,3.51,2.10,1.87,0.93,4.47,0.75,
2023/2/2,12200.82,2.04,1.12,2.25,4.30,6.43,1.18,
2023/2/3,12006.95,2.38,0.50,2.36,2.92,5.37,0.69,
2023/2/6,11887.45,1.10,-0.14,2.34,1.62,2.73,0.40,
2023/2/7,12113.79,2.65,1.87,2.44,0.90,3.57,0.66,
2023/2/8,11910.52,1.74,-1.31,2.34,1.10,2.85,0.25,11.9900
2023/3/17,11630.51,1.82,-0.56,-0.11,0.54,2.37,0.23,
2023/3/20,11675.54,1.25,0.53,0.02,0.18,1.44,0.25,
2023/3/21,11860.11,1.32,0.81,0.25,1.21,2.54,0.48,
2023/3/22,11669.96,2.98,-1.58,0.29,0.58,3.58,0.12,
2023/3/23,11787.40,2.38,-0.20,0.39,0.46,2.86,0.27,
2023/3/24,11823.96,1.33,0.65,0.49,0.07,1.40,0.28,
2023/3/27,11768.84,1.40,-0.84,0.52,0.50,1.91,0.15,
2023/3/28,11716.08,1.01,-0.31,0.50,-0.44,0.57,0.05,
2023/3/29,11926.24,1.00,0.60,0.61,0.83,1.84,0.34,
2023/3/30,12013.47,0.76,0.03,0.75,1.52,2.30,0.41,
2023/3/31,12221.91,1.64,1.58,0.98,1.53,3.20,0.63,
2023/4/3,12189.45,0.91,0.36,1.12,1.52,2.44,0.48,
2023/4/4,12126.33,1.18,-0.67,1.17,1.17,2.36,0.31,4.26300
2023/11/2,13294.19,0.95,0.48,-0.83,1.17,2.12,0.41,
2023/11/3,13478.28,1.32,0.86,-0.47,1.86,3.20,0.58,
2023/11/6,13518.78,0.86,0.03,-0.18,2.01,2.89,0.53,
2023/11/7,13639.86,1.18,0.62,0.12,2.02,3.22,0.59,
2023/11/8,13650.41,0.82,-0.07,0.35,1.94,2.77,0.50,
2023/11/9,13521.45,1.42,-1.26,0.44,1.17,2.60,0.26,
2023/11/10,13798.11,1.82,1.67,0.67,0.98,2.81,0.56,
2023/11/13,13767.74,0.86,0.16,0.81,1.53,2.40,0.43,
2023/11/14,14094.38,0.86,0.56,1.09,3.09,3.98,0.76,
2023/11/15,14103.84,0.95,-0.31,1.29,2.85,3.83,0.64,
2023/11/16,14113.67,0.69,0.33,1.43,2.10,2.81,0.54,
2023/11/17,14125.48,0.64,0.17,1.52,1.85,2.51,0.46,
2023/11/20,14284.53,1.24,1.06,1.66,1.78,3.04,0.58,
2023/11/21,14199.98,0.64,-0.12,1.68,1.48,2.14,0.38,
2023/11/22,14265.86,0.93,-0.13,1.72,1.66,2.61,0.39,
2023/11/24,14250.85,0.40,0.09,1.71,1.26,1.66,0.31,7.19600
2022/12/1,11482.45,1.48,0.06,0.95,1.55,3.05,0.50,
2022/12/2,11461.50,1.73,1.35,1.04,0.43,2.17,0.38,-0.182500
2023/4/17,12157.72,0.79,0.41,0.90,0.07,0.86,0.17,
2023/4/18,12153.41,1.12,-0.66,0.89,0.32,1.44,0.14,-0.0354500
2023/7/25,14144.56,0.78,0.36,1.19,0.21,0.99,0.12,
2023/7/26,14127.28,1.04,0.03,1.12,-0.23,0.81,0.08,
2023/7/27,14050.11,2.52,-1.88,1.01,-0.45,2.06,-0.03,
2023/7/28,14316.66,1.10,0.82,1.06,0.55,1.65,0.29,
2023/7/31,14346.02,0.55,0.06,1.10,1.01,1.56,0.28,
2023/8/1,14283.91,0.66,0.06,1.08,0.30,0.97,0.16,0.985200
2023/10/10,13562.84,1.24,0.42,-0.44,0.95,2.20,0.30,
2023/10/11,13659.68,0.90,0.30,-0.23,1.01,1.91,0.37,
2023/10/12,13574.22,1.65,-0.72,-0.11,0.38,2.03,0.20,0.0839100
2023/8/28,13705.13,0.80,0.07,-0.59,0.14,0.94,0.14,
2023/8/29,13943.76,2.07,1.87,-0.34,0.10,2.17,0.41,
2023/8/30,14019.31,0.91,0.41,-0.10,1.47,2.39,0.43,
2023/8/31,14034.97,0.74,-0.05,0.09,1.71,2.47,0.38,
2023/9/1,14031.81,1.20,-0.69,0.23,1.19,2.40,0.31,
2023/9/5,14020.95,0.83,0.19,0.33,0.68,1.51,0.25,2.30400
2023/4/28,12226.58,1.20,0.90,0.41,0.22,1.42,0.28,
2023/5/1,12212.60,0.66,0.02,0.48,0.82,1.48,0.22,-0.114300
2023/6/29,13591.33,0.58,-0.01,1.25,0.18,0.76,0.11,
