"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"11/14/2016","5246.33","5247.17","5192.05","5218.40","1.06%","-0.53%","-0.16%","-0.09%","0.97%","",""
"11/15/2016","5241.35","5287.06","5236.25","5275.62","0.97%","0.65%","-0.02%","0.51%","1.48%",false,"0.25%"
"11/16/2016","5253.74","5299.63","5251.88","5294.58","0.91%","0.78%","0.11%","0.54%","1.45%",false,"0.27%"
"11/17/2016","5295.07","5334.05","5288.16","5333.97","0.87%","0.73%","0.27%","0.88%","1.75%",false,"0.35%"
"11/18/2016","5340.97","5346.80","5315.53","5321.51","0.59%","-0.36%","0.36%","1.14%","1.74%",true,"0.25%"
"11/21/2016","5336.78","5369.83","5334.16","5368.86","0.67%","0.60%","0.50%","1.13%","1.81%",false,"0.36%"
"11/22/2016","5384.75","5392.26","5365.60","5386.35","0.50%","0.03%","0.63%","1.37%","1.88%",false,"0.35%"
"11/23/2016","5366.55","5380.68","5350.68","5380.68","0.56%","0.26%","0.70%","0.81%","1.38%",true,"0.28%"
"11/25/2016","5388.49","5398.92","5379.28","5398.92","0.37%","0.19%","0.78%","1.06%","1.43%",false,"0.29%"
"11/28/2016","5387.92","5396.27","5364.91","5368.81","0.58%","-0.35%","0.78%","0.65%","1.23%",true,"0.14%"
"11/29/2016","5370.98","5403.86","5360.56","5379.92","0.81%","0.17%","0.78%","0.41%","1.22%",false,"0.15%"
"11/30/2016","5391.35","5393.15","5323.68","5323.68","1.30%","-1.26%","0.69%","-0.24%","1.07%",true,"-0.05%"
"12/1/2016","5323.88","5326.34","5238.21","5251.11","1.68%","-1.37%","0.51%","-1.58%","0.08%",true,"-0.27%"
"12/2/2016","5249.02","5274.54","5239.27","5255.65","0.67%","0.13%","0.36%","-1.35%","-0.69%",false,"-0.21%"
"12/5/2016","5283.58","5321.09","5269.57","5308.89","0.98%","0.48%","0.33%","-0.77%","0.20%",false,"-0.01%"
"12/6/2016","5317.74","5333.99","5299.94","5333.00","0.64%","0.29%","0.33%","-0.27%","0.37%",false,"0.07%"
"12/7/2016","5322.67","5397.93","5307.31","5393.76","1.71%","1.34%","0.42%","-0.38%","1.32%",false,"0.25%"
"12/8/2016","5394.15","5425.52","5389.10","5417.36","0.68%","0.43%","0.52%","0.87%","1.55%",false,"0.28%"
"12/9/2016","5436.11","5450.16","5427.12","5444.50","0.42%","0.15%","0.62%","1.26%","1.69%",false,"0.32%"
"12/12/2016","5428.22","5434.90","5394.42","5412.54","0.75%","-0.29%","0.65%","0.49%","1.24%","1","0.16%"
"12/13/2016","5433.57","5486.75","5430.72","5463.83","1.03%","0.56%","0.73%","0.86%","1.90%",false,"0.30%"
"12/14/2016","5465.69","5476.25","5425.73","5436.67","0.93%","-0.53%","0.74%","0.61%","1.54%",true,"0.16%"
"12/15/2016","5443.51","5485.12","5439.39","5456.85","0.84%","0.25%","0.77%","0.66%","1.51%",false,"0.20%"
"12/16/2016","5467.82","5474.58","5426.01","5437.16","0.90%","-0.56%","0.75%","0.31%","1.21%",true,"0.10%"
"12/19/2016","5441.20","5483.42","5436.54","5457.44","0.86%","0.30%","0.76%","0.36%","1.22%",false,"0.15%"
"12/20/2016","5473.53","5489.47","5471.71","5483.94","0.32%","0.19%","0.79%","0.80%","1.13%",false,"0.21%"
"12/21/2016","5482.63","5486.26","5465.31","5471.43","0.38%","-0.20%","0.78%","0.55%","0.93%",true,"0.13%"
"12/22/2016","5472.01","5472.01","5432.77","5447.42","0.72%","-0.45%","0.73%","-0.09%","0.63%",true,"0.04%"
"12/23/2016","5441.76","5462.69","5441.76","5462.69","0.38%","0.38%","0.70%","0.00%","0.39%",false,"0.08%"
"12/27/2016","5470.76","5512.37","5469.61","5487.44","0.78%","0.30%","0.71%","0.37%","1.16%",false,"0.14%"
"12/28/2016","5497.44","5498.91","5434.70","5438.56","1.18%","-1.07%","0.63%","-0.24%","0.94%",true,"-0.03%"
"12/29/2016","5437.51","5450.63","5415.18","5432.09","0.65%","-0.10%","0.55%","-0.55%","0.10%",true,"-0.05%"
"12/30/2016","5440.17","5441.90","5371.89","5383.12","1.30%","-1.05%","0.42%","-1.16%","0.13%",true,"-0.19%"
"1/3/2017","5425.62","5452.57","5397.99","5429.08","1.01%","0.06%","0.37%","-0.66%","0.35%",false,"-0.02%"
"1/4/2017","5440.91","5482.35","5440.24","5477.00","0.77%","0.66%","0.40%","-0.01%","0.76%",false,"0.13%"
"1/5/2017","5474.39","5495.85","5464.36","5487.94","0.58%","0.25%","0.44%","0.29%","0.86%",false,"0.14%"
"1/6/2017","5499.08","5536.52","5482.81","5521.06","0.98%","0.40%","0.50%","0.40%","1.39%",false,"0.22%"
"1/9/2017","5527.58","5541.08","5517.14","5531.82","0.43%","0.08%","0.56%","0.81%","1.25%",false,"0.22%"
"1/10/2017","5536.54","5564.25","5528.11","5551.82","0.65%","0.28%","0.63%","0.77%","1.43%",false,"0.24%"
"1/11/2017","5550.72","5564.08","5524.03","5563.65","0.73%","0.23%","0.68%","0.46%","1.19%",false,"0.24%"
"1/12/2017","5542.56","5550.67","5496.82","5547.49","0.98%","0.09%","0.69%","-0.18%","0.79%",true,"0.15%"
"1/13/2017","5557.57","5584.26","5557.20","5574.12","0.49%","0.30%","0.73%","0.71%","1.20%",false,"0.20%"
"1/17/2017","5555.16","5557.05","5527.22","5538.73","0.54%","-0.30%","0.69%","0.10%","0.64%",true,"0.06%"
"1/18/2017","5546.94","5555.98","5534.77","5555.65","0.38%","0.16%","0.68%","0.14%","0.52%",false,"0.10%"
"1/19/2017","5560.61","5571.53","5528.37","5540.08","0.78%","-0.37%","0.64%","-0.02%","0.76%",true,"0.04%"
"1/20/2017","5556.87","5574.35","5542.23","5555.33","0.58%","-0.03%","0.62%","0.15%","0.73%",false,"0.08%"
"1/23/2017","5546.64","5564.14","5522.69","5552.94","0.75%","0.11%","0.60%","-0.26%","0.49%",true,"0.06%"
"1/24/2017","5568.27","5606.53","5558.49","5600.96","0.86%","0.59%","0.64%","0.20%","1.06%",false,"0.19%"
"1/25/2017","5635.86","5658.59","5634.33","5656.34","0.43%","0.36%","0.73%","1.23%","1.67%",false,"0.33%"
"1/26/2017","5666.28","5669.61","5647.65","5655.18","0.39%","-0.20%","0.80%","1.20%","1.59%",true,"0.27%"
"1/27/2017","5664.88","5667.45","5643.90","5660.78","0.42%","-0.07%","0.84%","0.89%","1.31%",false,"0.24%"
"1/30/2017","5635.86","5636.09","5578.76","5613.71","1.03%","-0.39%","0.79%","-0.33%","0.69%",true,"0.06%"
"1/31/2017","5592.87","5615.15","5576.09","5614.79","0.70%","0.39%","0.75%","-0.43%","0.27%",false,"0.05%"
"2/1/2017","5654.51","5662.11","5621.03","5642.65","0.73%","-0.21%","0.74%","0.25%","0.98%",false,"0.13%"
"2/2/2017","5627.15","5656.01","5616.40","5636.20","0.71%","0.16%","0.72%","0.08%","0.78%",true,"0.09%"
"2/3/2017","5650.73","5666.84","5647.58","5666.77","0.34%","0.28%","0.73%","0.47%","0.81%",false,"0.16%"
"2/6/2017","5656.95","5668.20","5650.26","5663.55","0.32%","0.12%","0.73%","0.39%","0.71%",true,"0.13%"
"2/7/2017","5674.86","5689.60","5664.82","5674.22","0.44%","-0.01%","0.73%","0.51%","0.95%",false,"0.14%"
"2/8/2017","5662.95","5686.96","5649.39","5682.45","0.67%","0.34%","0.73%","0.10%","0.77%",false,"0.14%"
"2/9/2017","5688.02","5722.71","5685.15","5715.18","0.66%","0.48%","0.77%","0.52%","1.19%",false,"0.21%"
"2/10/2017","5726.17","5743.43","5717.42","5734.13","0.45%","0.14%","0.81%","0.86%","1.32%",false,"0.23%"
"2/13/2017","5753.19","5770.99","5751.92","5763.96","0.33%","0.19%","0.87%","1.18%","1.52%",false,"0.28%"
"2/14/2017","5756.51","5783.09","5748.74","5782.57","0.60%","0.45%","0.93%","0.84%","1.44%",false,"0.29%"
"2/15/2017","5777.90","5821.95","5776.70","5819.44","0.78%","0.72%","1.01%","0.98%","1.77%",false,"0.35%"
"2/16/2017","5823.01","5835.15","5796.71","5814.90","0.66%","-0.14%","1.05%","1.05%","1.72%",true,"0.27%"
"2/17/2017","5807.31","5838.58","5800.80","5838.58","0.65%","0.54%","1.10%","0.82%","1.48%",false,"0.30%"
"2/21/2017","5850.20","5867.89","5847.50","5865.95","0.35%","0.27%","1.16%","1.31%","1.66%",false,"0.33%"
"2/22/2017","5857.56","5864.42","5848.28","5860.63","0.28%","0.05%","1.17%","1.06%","1.34%",true,"0.26%"
"2/23/2017","5866.82","5866.96","5809.55","5835.51","0.99%","-0.53%","1.14%","0.25%","1.24%",true,"0.14%"
"2/24/2017","5802.33","5845.31","5800.55","5845.31","0.77%","0.74%","1.11%","-0.05%","0.72%",false,"0.14%"
"2/27/2017","5835.04","5861.90","5827.00","5861.90","0.60%","0.46%","1.09%","0.24%","0.84%",false,"0.17%"
"2/28/2017","5852.79","5855.07","5817.22","5825.44","0.65%","-0.47%","1.01%","0.03%","0.69%",true,"0.04%"
"3/1/2017","5874.86","5911.79","5865.79","5904.03","0.78%","0.50%","1.04%","0.61%","1.40%",false,"0.25%"
"3/2/2017","5897.01","5897.01","5856.30","5861.22","0.70%","-0.61%","0.99%","0.36%","1.06%",true,"0.09%"
"3/3/2017","5854.27","5870.75","5841.47","5870.75","0.50%","0.28%","0.95%","0.01%","0.51%",false,"0.10%"
"3/6/2017","5846.42","5857.74","5827.46","5849.18","0.52%","0.05%","0.88%","-0.26%","0.26%",true,"0.02%"
"3/7/2017","5836.12","5859.77","5826.32","5833.93","0.57%","-0.04%","0.79%","-0.25%","0.32%",true,"-0.02%"
"3/8/2017","5838.44","5860.63","5832.63","5837.55","0.48%","-0.02%","0.72%","-0.13%","0.35%",false,"-0.01%"
"3/9/2017","5834.67","5852.54","5812.08","5838.81","0.70%","0.07%","0.66%","-0.48%","0.21%",false,"-0.00%"
"3/10/2017","5867.16","5872.60","5835.44","5861.73","0.64%","-0.09%","0.63%","-0.14%","0.49%",false,"0.06%"
"3/13/2017","5863.48","5877.43","5860.83","5875.78","0.28%","0.21%","0.62%","0.20%","0.48%",false,"0.09%"
"3/14/2017","5860.07","5860.50","5831.88","5856.82","0.49%","-0.06%","0.57%","-0.32%","0.17%",true,"0.02%"
"3/15/2017","5869.98","5911.20","5858.16","5900.05","0.91%","0.51%","0.59%","-0.01%","0.90%",false,"0.14%"
"3/16/2017","5907.86","5911.48","5887.24","5900.76","0.41%","-0.12%","0.59%","0.37%","0.78%",false,"0.12%"
"3/17/2017","5898.58","5912.61","5890.42","5901.00","0.38%","0.04%","0.59%","0.32%","0.70%",false,"0.10%"
"3/20/2017","5898.81","5915.12","5888.12","5901.53","0.46%","0.05%","0.58%","0.20%","0.66%",false,"0.09%"
"3/21/2017","5923.42","5928.06","5790.73","5793.83","2.37%","-2.19%","0.42%","-1.23%","1.11%",true,"-0.23%"
"3/22/2017","5790.59","5825.67","5781.80","5821.64","0.76%","0.54%","0.33%","-1.27%","-0.52%",false,"-0.12%"
"3/23/2017","5812.31","5842.82","5806.98","5817.69","0.62%","0.09%","0.25%","-0.73%","-0.12%",true,"-0.11%"
"3/24/2017","5839.33","5858.95","5807.83","5828.74","0.88%","-0.18%","0.20%","-0.65%","0.22%",false,"-0.06%"
"3/27/2017","5776.33","5849.20","5769.39","5840.37","1.38%","1.11%","0.17%","-1.30%","0.07%",false,"-0.02%"
"3/28/2017","5836.50","5888.70","5828.86","5875.14","1.03%","0.66%","0.20%","-0.36%","0.66%",false,"0.09%"
"3/29/2017","5875.35","5900.87","5870.93","5897.55","0.51%","0.38%","0.24%","0.22%","0.73%",false,"0.14%"
"3/30/2017","5896.15","5916.77","5894.00","5914.34","0.39%","0.31%","0.30%","0.45%","0.84%",false,"0.16%"
"3/31/2017","5905.63","5927.81","5901.77","5911.74","0.44%","0.10%","0.33%","0.46%","0.90%",true,"0.13%"
"4/3/2017","5917.32","5928.93","5867.73","5894.68","1.04%","-0.38%","0.33%","-0.18%","0.86%",true,"0.06%"
"4/4/2017","5878.76","5901.39","5878.76","5898.61","0.38%","0.34%","0.33%","-0.05%","0.34%",false,"0.06%"
"4/5/2017","5911.92","5936.39","5856.26","5864.48","1.37%","-0.80%","0.28%","-0.38%","0.98%",true,"-0.05%"
"4/6/2017","5870.52","5889.58","5856.22","5878.95","0.57%","0.14%","0.25%","-0.38%","0.18%",false,"0.00%"
"4/7/2017","5873.94","5892.07","5855.51","5877.81","0.62%","0.07%","0.23%","-0.39%","0.23%",true,"-0.00%"
"4/10/2017","5883.43","5907.85","5865.56","5880.93","0.72%","-0.04%","0.21%","-0.23%","0.49%",false,"0.01%"
"4/11/2017","5871.16","5878.94","5819.29","5866.77","1.03%","-0.07%","0.18%","-0.98%","0.03%",true,"-0.03%"
"4/12/2017","5863.59","5868.09","5830.44","5836.16","0.65%","-0.47%","0.11%","-0.68%","-0.03%",true,"-0.12%"
"4/13/2017","5828.37","5856.54","5805.15","5805.15","0.89%","-0.40%","0.01%","-0.92%","-0.05%",true,"-0.18%"
"4/17/2017","5821.55","5856.79","5818.20","5856.79","0.66%","0.61%","0.01%","-0.69%","-0.04%",false,"-0.01%"
"4/18/2017","5838.59","5860.04","5828.57","5849.47","0.54%","0.19%","-0.01%","-0.49%","0.05%",true,"-0.03%"
"4/19/2017","5874.43","5894.68","5856.34","5863.03","0.65%","-0.19%","0.00%","-0.03%","0.62%",false,"0.02%"
"4/20/2017","5887.87","5926.23","5880.20","5916.78","0.78%","0.49%","0.08%","0.21%","0.99%",false,"0.17%"
"4/21/2017","5919.02","5919.23","5899.43","5910.52","0.34%","-0.14%","0.13%","0.41%","0.75%",true,"0.12%"
"4/24/2017","5979.96","5989.92","5970.25","5983.82","0.33%","0.06%","0.27%","1.31%","1.64%",false,"0.31%"
"4/25/2017","6004.16","6036.02","6002.65","6025.49","0.56%","0.36%","0.42%","1.48%","2.04%",false,"0.37%"
"4/26/2017","6028.12","6040.89","6021.72","6025.23","0.32%","-0.05%","0.53%","1.49%","1.81%",true,"0.31%"
"4/27/2017","6038.47","6050.70","6031.59","6048.94","0.32%","0.17%","0.64%","1.32%","1.64%",false,"0.32%"
"4/28/2017","6072.87","6074.04","6040.71","6047.61","0.55%","-0.42%","0.71%","1.21%","1.77%",true,"0.27%"
"5/1/2017","6067.56","6100.73","6061.35","6091.60","0.65%","0.40%","0.81%","1.21%","1.86%",false,"0.34%"
"5/2/2017","6102.51","6102.72","6081.56","6095.37","0.35%","-0.12%","0.88%","1.24%","1.60%",false,"0.30%"
"5/3/2017","6075.04","6076.96","6053.28","6072.55","0.39%","-0.04%","0.89%","0.59%","0.98%",true,"0.18%"
"5/4/2017","6075.06","6080.82","6054.33","6075.34","0.44%","0.00%","0.88%","0.45%","0.89%",false,"0.16%"
"5/5/2017","6091.69","6100.76","6067.16","6100.76","0.55%","0.15%","0.90%","0.46%","1.01%",false,"0.20%"
"5/8/2017","6100.66","6106.12","6083.06","6102.66","0.38%","0.03%","0.90%","0.54%","0.93%",false,"0.17%"
"5/9/2017","6111.82","6133.00","6107.59","6120.59","0.42%","0.14%","0.92%","0.75%","1.17%",false,"0.19%"
"5/10/2017","6121.64","6131.64","6103.87","6129.14","0.45%","0.12%","0.92%","0.51%","0.96%",false,"0.18%"
"5/11/2017","6110.05","6120.20","6075.68","6115.96","0.73%","0.10%","0.90%","-0.07%","0.66%",true,"0.12%"
"5/12/2017","6119.27","6122.84","6105.42","6121.23","0.29%","0.03%","0.87%","0.30%","0.59%",false,"0.11%"
"5/15/2017","6128.11","6153.04","6124.79","6149.67","0.46%","0.35%","0.88%","0.45%","0.91%",false,"0.17%"
"5/16/2017","6160.52","6170.16","6139.10","6169.87","0.51%","0.15%","0.89%","0.48%","0.99%",false,"0.20%"
"5/17/2017","6108.62","6122.87","6009.48","6011.24","1.89%","-1.59%","0.69%","-1.37%","0.49%",true,"-0.27%"
"5/18/2017","5998.46","6073.45","5996.81","6055.13","1.28%","0.94%","0.58%","-1.48%","-0.22%",false,"-0.10%"
"5/19/2017","6070.23","6106.55","6070.23","6083.70","0.60%","0.22%","0.53%","-0.26%","0.33%",false,"-0.01%"
"5/22/2017","6098.25","6135.92","6097.24","6133.62","0.63%","0.58%","0.54%","0.05%","0.68%",false,"0.13%"
"5/23/2017","6149.55","6150.91","6121.79","6138.71","0.48%","-0.18%","0.55%","0.33%","0.81%",false,"0.12%"
"5/24/2017","6154.18","6166.09","6139.33","6163.02","0.44%","0.14%","0.58%","0.45%","0.89%",false,"0.17%"
"5/25/2017","6183.02","6217.34","6174.52","6205.26","0.69%","0.36%","0.65%","0.77%","1.47%",false,"0.25%"
"5/26/2017","6207.04","6211.52","6196.66","6210.19","0.24%","0.05%","0.70%","0.90%","1.14%",false,"0.23%"
"5/30/2017","6204.18","6217.13","6200.41","6203.19","0.27%","-0.02%","0.72%","0.79%","1.07%",true,"0.17%"
"5/31/2017","6221.63","6221.99","6164.07","6198.52","0.94%","-0.37%","0.72%","0.08%","1.02%",true,"0.13%"
"6/1/2017","6215.91","6247.07","6200.45","6246.83","0.75%","0.50%","0.77%","0.43%","1.18%",false,"0.24%"
"6/2/2017","6261.59","6308.76","6253.77","6305.80","0.88%","0.71%","0.87%","0.93%","1.82%",false,"0.36%"
"6/5/2017","6305.47","6310.62","6292.15","6295.68","0.29%","-0.16%","0.92%","1.28%","1.58%",true,"0.27%"
"6/6/2017","6281.88","6304.21","6269.87","6275.06","0.55%","-0.11%","0.92%","0.75%","1.31%",true,"0.17%"
"6/7/2017","6290.44","6302.78","6267.18","6297.38","0.57%","0.11%","0.93%","0.51%","1.08%",false,"0.20%"
"6/8/2017","6311.73","6324.06","6282.93","6321.76","0.65%","0.16%","0.96%","0.53%","1.19%",false,"0.23%"
"6/9/2017","6330.25","6341.70","6137.68","6207.92","3.32%","-1.93%","0.82%","-1.68%","1.58%",true,"-0.11%"
"6/12/2017","6153.56","6183.81","6110.67","6175.46","1.20%","0.36%","0.67%","-1.94%","-0.77%",true,"-0.18%"
"6/13/2017","6206.12","6226.41","6180.04","6220.37","0.75%","0.23%","0.59%","-0.80%","-0.05%",false,"-0.03%"
"6/14/2017","6237.46","6237.53","6153.55","6194.89","1.36%","-0.68%","0.50%","-1.13%","0.22%",true,"-0.09%"
"6/15/2017","6127.05","6170.15","6107.85","6165.50","1.02%","0.63%","0.38%","-1.71%","-0.71%",true,"-0.16%"
"6/16/2017","6154.28","6161.56","6125.50","6151.76","0.59%","-0.04%","0.27%","-1.26%","-0.68%",true,"-0.17%"
"6/19/2017","6196.85","6243.31","6194.00","6239.01","0.80%","0.68%","0.29%","-0.25%","0.54%",false,"0.09%"
"6/20/2017","6229.62","6234.01","6186.94","6188.03","0.76%","-0.67%","0.24%","-0.31%","0.45%",true,"-0.06%"
"6/21/2017","6202.75","6236.66","6200.86","6233.95","0.58%","0.50%","0.25%","-0.16%","0.42%",false,"0.07%"
"6/22/2017","6239.15","6257.68","6221.96","6236.69","0.57%","-0.04%","0.26%","0.11%","0.69%",false,"0.07%"
"6/23/2017","6234.35","6269.37","6218.78","6265.25","0.81%","0.50%","0.30%","-0.07%","0.74%",false,"0.13%"
"6/26/2017","6292.73","6303.45","6233.43","6247.15","1.12%","-0.72%","0.31%","0.10%","1.22%",true,"0.06%"
"6/27/2017","6227.90","6234.32","6146.62","6146.62","1.43%","-1.31%","0.18%","-1.08%","0.33%",true,"-0.22%"
"6/28/2017","6173.10","6238.29","6144.80","6234.41","1.52%","0.99%","0.19%","-1.17%","0.34%",false,"0.06%"
"6/29/2017","6215.49","6216.60","6087.81","6144.35","2.12%","-1.14%","0.08%","-1.89%","0.18%",true,"-0.20%"
"6/30/2017","6166.84","6170.63","6129.04","6140.42","0.68%","-0.43%","-0.01%","-1.05%","-0.38%",true,"-0.17%"
"7/3/2017","6173.29","6177.36","6106.12","6110.06","1.17%","-1.02%","-0.12%","-1.20%","-0.05%",true,"-0.23%"
"7/5/2017","6122.06","6163.62","6100.42","6150.86","1.04%","0.47%","-0.15%","-1.21%","-0.19%",false,"-0.08%"
"7/6/2017","6109.60","6127.98","6081.96","6089.46","0.76%","-0.33%","-0.25%","-1.28%","-0.54%",true,"-0.23%"
"7/7/2017","6111.21","6164.94","6111.21","6153.08","0.88%","0.69%","-0.23%","-0.79%","0.08%",false,"-0.02%"
"7/10/2017","6156.03","6191.27","6141.83","6176.39","0.80%","0.33%","-0.19%","-0.34%","0.47%",false,"0.05%"
"7/11/2017","6171.25","6200.58","6149.87","6193.30","0.82%","0.36%","-0.14%","-0.29%","0.53%",false,"0.08%"
"7/12/2017","6238.90","6265.64","6236.82","6261.17","0.46%","0.36%","-0.00%","0.87%","1.33%",false,"0.25%"
"7/13/2017","6269.10","6281.45","6251.26","6274.44","0.48%","0.09%","0.11%","0.85%","1.34%",false,"0.25%"
"7/14/2017","6289.08","6321.76","6278.70","6312.47","0.69%","0.37%","0.25%","0.99%","1.68%",false,"0.31%"
"7/17/2017","6320.35","6330.97","6307.34","6314.43","0.37%","-0.09%","0.35%","1.18%","1.56%",false,"0.26%"
"7/18/2017","6304.82","6344.55","6291.07","6344.31","0.85%","0.63%","0.46%","0.62%","1.48%",false,"0.30%"
"7/19/2017","6363.24","6387.73","6362.19","6385.04","0.40%","0.34%","0.59%","1.40%","1.81%",false,"0.35%"
"7/20/2017","6396.46","6398.26","6365.68","6390.00","0.51%","-0.10%","0.68%","1.15%","1.66%",false,"0.31%"
"7/21/2017","6383.05","6388.78","6365.12","6387.75","0.37%","0.07%","0.74%","0.89%","1.26%",true,"0.25%"
"7/24/2017","6387.82","6417.70","6380.61","6410.81","0.58%","0.36%","0.80%","0.86%","1.45%",false,"0.27%"
"7/25/2017","6407.59","6425.45","6396.87","6412.17","0.45%","0.07%","0.84%","0.89%","1.34%",false,"0.23%"
