"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"11/27/2017","6889.91","6897.43","6867.89","6878.52","0.43%","-0.17%","0.79%","0.74%","1.17%","",""
"11/28/2017","6893.72","6914.19","6866.21","6912.36","0.70%","0.27%","0.83%","0.48%","1.18%","","0.23%"
"11/29/2017","6907.28","6908.33","6793.95","6824.39","1.68%","-1.20%","0.75%","-0.56%","1.12%","1","-0.02%"
"11/30/2017","6852.80","6888.65","6838.48","6873.97","0.73%","0.31%","0.73%","-0.01%","0.73%","","0.10%"
"12/1/2017","6844.04","6872.17","6737.16","6847.59","2.00%","0.05%","0.68%","-1.51%","0.47%","1","0.02%"
"12/4/2017","6897.13","6899.23","6770.69","6775.37","1.90%","-1.77%","0.54%","-0.86%","1.02%","1","-0.16%"
"12/5/2017","6759.14","6836.45","6752.32","6762.21","1.25%","0.05%","0.42%","-0.97%","0.27%","1","-0.16%"
"12/6/2017","6742.07","6787.42","6734.13","6776.38","0.79%","0.51%","0.33%","-1.13%","-0.35%","","-0.10%"
"12/7/2017","6785.74","6829.29","6778.20","6812.84","0.75%","0.40%","0.31%","-0.49%","0.26%","","0.00%"
"12/8/2017","6859.95","6870.48","6831.61","6840.08","0.57%","-0.29%","0.31%","0.22%","0.79%","","0.07%"
"12/11/2017","6847.64","6879.80","6844.88","6875.08","0.51%","0.40%","0.35%","0.27%","0.79%","","0.14%"
"12/12/2017","6872.71","6884.80","6856.30","6862.32","0.42%","-0.15%","0.36%","0.35%","0.77%","1","0.09%"
"12/13/2017","6880.41","6897.62","6871.87","6875.80","0.37%","-0.07%","0.38%","0.47%","0.85%","","0.11%"
"12/14/2017","6887.38","6901.13","6851.63","6856.53","0.72%","-0.45%","0.37%","0.14%","0.86%","1","0.04%"
"12/15/2017","6871.55","6945.82","6871.45","6936.58","1.08%","0.95%","0.45%","0.20%","1.28%","","0.23%"
"12/18/2017","6980.40","7003.89","6975.54","6994.76","0.41%","0.21%","0.56%","1.38%","1.79%","","0.33%"
"12/19/2017","6991.25","6995.88","6951.49","6963.85","0.64%","-0.39%","0.61%","0.82%","1.47%","1","0.20%"
"12/20/2017","6991.25","6991.25","6935.42","6960.96","0.80%","-0.43%","0.63%","0.43%","1.24%","1","0.16%"
"12/21/2017","6972.88","6992.63","6961.21","6965.36","0.45%","-0.11%","0.65%","0.66%","1.11%","","0.14%"
"12/22/2017","6958.02","6962.26","6944.45","6959.96","0.26%","0.03%","0.64%","0.31%","0.57%","1","0.11%"
"12/26/2017","6928.92","6942.14","6915.56","6936.25","0.38%","0.11%","0.60%","-0.14%","0.24%","1","0.03%"
"12/27/2017","6941.45","6955.38","6931.34","6939.34","0.35%","-0.03%","0.56%","0.05%","0.40%","","0.03%"
"12/28/2017","6953.38","6954.80","6936.75","6950.16","0.26%","-0.05%","0.54%","0.08%","0.34%","","0.05%"
"12/29/2017","6952.61","6954.98","6903.39","6903.39","0.75%","-0.71%","0.46%","-0.34%","0.41%","1","-0.07%"
"1/2/2018","6937.65","7006.91","6924.08","7006.90","1.20%","1.00%","0.51%","-0.23%","0.96%","","0.19%"
"1/3/2018","7017.07","7069.15","7016.70","7065.53","0.75%","0.69%","0.61%","0.80%","1.55%","","0.30%"
"1/4/2018","7089.50","7098.05","7072.38","7077.91","0.36%","-0.16%","0.69%","1.32%","1.68%","","0.28%"
"1/5/2018","7105.74","7137.04","7097.08","7136.56","0.56%","0.43%","0.80%","1.29%","1.86%","","0.37%"
"1/8/2018","7135.38","7161.35","7124.09","7157.39","0.52%","0.31%","0.90%","1.31%","1.84%","","0.36%"
"1/9/2018","7174.19","7181.14","7148.30","7163.58","0.46%","-0.15%","0.97%","1.34%","1.81%","","0.31%"
"1/10/2018","7129.83","7154.24","7111.52","7153.57","0.60%","0.33%","1.00%","0.58%","1.19%","1","0.24%"
"1/11/2018","7168.73","7211.78","7163.23","7211.78","0.68%","0.60%","1.07%","0.98%","1.66%","","0.33%"
"1/12/2018","7208.17","7265.26","7205.18","7261.06","0.83%","0.73%","1.16%","1.17%","2.02%","","0.39%"
"1/16/2018","7307.19","7330.33","7205.93","7223.69","1.73%","-1.14%","1.17%","0.94%","2.68%","1","0.24%"
"1/17/2018","7257.77","7309.36","7229.32","7298.28","1.11%","0.56%","1.24%","0.89%","2.01%","","0.37%"
"1/18/2018","7293.65","7313.89","7276.11","7296.05","0.52%","0.03%","1.27%","1.24%","1.76%","1","0.30%"
"1/19/2018","7312.00","7336.38","7297.28","7336.38","0.54%","0.33%","1.32%","1.18%","1.72%","","0.35%"
"1/22/2018","7338.04","7408.03","7332.81","7408.03","1.03%","0.95%","1.42%","1.22%","2.26%","","0.45%"
"1/23/2018","7424.95","7465.39","7423.18","7460.29","0.57%","0.48%","1.53%","1.96%","2.54%","","0.50%"
"1/24/2018","7474.16","7486.32","7376.75","7415.06","1.49%","-0.79%","1.54%","1.01%","2.51%","1","0.31%"
"1/25/2018","7457.95","7458.53","7388.58","7411.16","0.95%","-0.63%","1.52%","0.92%","1.88%","1","0.25%"
"1/26/2018","7448.33","7505.77","7431.22","7505.77","1.00%","0.77%","1.58%","1.08%","2.09%","","0.42%"
"1/29/2018","7484.47","7500.61","7455.55","7466.51","0.60%","-0.24%","1.56%","1.15%","1.76%","1","0.26%"
"1/30/2018","7388.89","7433.65","7373.99","7402.48","0.81%","0.18%","1.46%","-0.03%","0.78%","1","0.07%"
"1/31/2018","7443.25","7453.99","7381.12","7411.48","0.99%","-0.43%","1.37%","-0.01%","0.97%","","0.08%"
"2/1/2018","7377.17","7441.09","7362.28","7385.86","1.07%","0.12%","1.25%","-0.28%","0.79%","1","0.01%"
"2/2/2018","7347.59","7364.43","7238.18","7240.95","1.74%","-1.45%","1.00%","-1.64%","0.07%","1","-0.32%"
"2/5/2018","7165.96","7277.36","6967.53","6967.53","4.45%","-2.77%","0.49%","-4.47%","-0.23%","1","-0.89%"
"2/6/2018","6837.56","7126.55","6824.82","7115.88","4.42%","4.07%","0.25%","-6.05%","-1.89%","","-0.41%"
"2/7/2018","7086.20","7170.34","7051.53","7051.98","1.68%","-0.48%","-0.00%","-2.45%","-0.81%","1","-0.49%"
"2/8/2018","7067.30","7073.99","6776.77","6777.16","4.39%","-4.11%","-0.51%","-5.27%","-1.11%","1","-1.04%"
"2/9/2018","6863.34","6917.01","6630.67","6874.49","4.32%","0.16%","-0.78%","-6.70%","-2.67%","","-0.65%"
"2/12/2018","6936.68","7023.62","6879.69","6981.96","2.09%","0.65%","-0.85%","-2.91%","-0.88%","","-0.29%"
"2/13/2018","6942.16","7025.68","6938.16","7013.51","1.26%","1.03%","-0.86%","-1.92%","-0.68%","","-0.17%"
"2/14/2018","6979.24","7152.05","6977.07","7143.62","2.51%","2.36%","-0.71%","-1.53%","0.94%","","0.16%"
"2/15/2018","7200.75","7256.93","7130.39","7256.43","1.77%","0.77%","-0.45%","0.23%","2.01%","","0.40%"
"2/16/2018","7236.51","7303.26","7226.38","7239.47","1.06%","0.04%","-0.27%","1.28%","2.36%","1","0.29%"
"2/20/2018","7209.03","7295.95","7206.00","7234.31","1.25%","0.35%","-0.14%","0.76%","2.02%","1","0.23%"
"2/21/2018","7258.48","7338.64","7218.11","7218.23","1.67%","-0.55%","-0.05%","0.77%","2.46%","1","0.16%"
"2/22/2018","7252.46","7280.93","7194.84","7210.09","1.20%","-0.58%","0.01%","0.34%","1.54%","1","0.11%"
"2/23/2018","7261.35","7337.83","7232.50","7337.39","1.46%","1.05%","0.19%","0.47%","1.94%","","0.39%"
"2/26/2018","7373.30","7421.85","7360.25","7421.46","0.84%","0.65%","0.42%","1.72%","2.57%","","0.52%"
"2/27/2018","7416.17","7438.09","7330.35","7330.35","1.47%","-1.16%","0.49%","1.09%","2.58%","1","0.22%"
"2/28/2018","7371.41","7386.80","7273.01","7273.01","1.56%","-1.33%","0.47%","0.25%","1.82%","1","0.05%"
"3/1/2018","7274.75","7307.85","7117.66","7180.56","2.67%","-1.29%","0.35%","-1.72%","0.90%","1","-0.17%"
"3/2/2018","7099.54","7267.19","7084.83","7257.87","2.57%","2.23%","0.33%","-2.21%","0.30%","","0.04%"
"3/5/2018","7222.89","7350.07","7205.31","7330.71","2.01%","1.49%","0.40%","-0.74%","1.25%","","0.20%"
"3/6/2018","7366.61","7378.03","7319.68","7372.01","0.80%","0.07%","0.48%","0.57%","1.37%","","0.26%"
"3/7/2018","7311.74","7403.79","7311.74","7396.65","1.26%","1.16%","0.57%","0.19%","1.45%","","0.27%"
"3/8/2018","7422.77","7435.01","7391.50","7427.95","0.59%","0.07%","0.66%","0.98%","1.58%","","0.30%"
"3/9/2018","7475.98","7560.81","7469.03","7560.81","1.23%","1.13%","0.86%","1.48%","2.73%","","0.55%"
