"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"11/25/2022","11231.00","11261.57","11206.38","11226.36","0.49%","-0.04%","0.83%","0.79%","1.29%"
"11/28/2022","11147.57","11217.75","11020.69","11049.50","1.79%","-0.88%","0.71%","-0.77%","1.00%",true,"-0.10%"
"11/29/2022","11060.02","11086.02","10944.37","10983.78","1.29%","-0.69%","0.56%","-1.28%","-0.00%",true,"-0.18%"
"11/30/2022","10995.20","11468.47","10966.53","11468.00","4.58%","4.30%","0.78%","-1.64%","2.86%","","0.57%"
"12/1/2022","11475.17","11546.77","11378.75","11482.45","1.48%","0.06%","0.95%","1.55%","3.05%","","0.50%"
"12/2/2022","11308.38","11492.32","11296.72","11461.50","1.73%","1.35%","1.04%","0.43%","2.17%",true,"0.38%"
"12/5/2022","11380.99","11425.51","11193.02","11239.94","2.08%","-1.24%","0.95%","-0.48%","1.59%",true,"-0.01%"
"12/6/2022","11228.42","11241.42","10956.20","11014.89","2.60%","-1.90%","0.70%","-2.25%","0.30%",true,"-0.34%"
"12/7/2022","10963.95","11039.81","10910.62","10958.55","1.18%","-0.05%","0.47%","-2.29%","-1.13%",true,"-0.37%"
"12/8/2022","11011.33","11119.16","10939.47","11082.00","1.64%","0.64%","0.37%","-1.91%","-0.30%","","-0.13%"
"12/9/2022","11038.17","11138.70","10999.26","11004.62","1.27%","-0.30%","0.23%","-1.15%","0.10%",true,"-0.22%"
"12/12/2022","11015.48","11144.67","10984.82","11143.74","1.46%","1.16%","0.22%","-1.31%","0.13%","","0.02%"
"12/13/2022","11542.84","11571.64","11160.54","11256.81","3.68%","-2.48%","0.29%","0.08%","3.77%","","0.19%"
"12/14/2022","11248.09","11352.09","11065.24","11170.89","2.59%","-0.69%","0.28%","-0.80%","1.77%",true,"0.03%"
"12/15/2022","11012.62","11029.57","10775.61","10810.53","2.36%","-1.84%","0.01%","-2.90%","-0.61%",true,"-0.51%"
"12/16/2022","10767.63","10833.24","10642.10","10705.41","1.80%","-0.58%","-0.27%","-3.53%","-1.80%",true,"-0.59%"
"12/19/2022","10707.44","10713.97","10497.55","10546.03","2.06%","-1.51%","-0.61%","-4.14%","-2.16%",true,"-0.73%"
"12/20/2022","10490.89","10609.46","10446.82","10547.11","1.56%","0.54%","-0.85%","-4.01%","-2.52%","","-0.61%"
"12/21/2022","10592.00","10753.57","10569.20","10709.37","1.74%","1.11%","-0.91%","-2.63%","-0.93%","","-0.27%"
"12/22/2022","10586.46","10599.34","10313.32","10476.12","2.77%","-1.04%","-1.11%","-4.43%","-1.78%",true,"-0.58%"
"12/23/2022","10437.75","10514.76","10361.82","10497.86","1.48%","0.58%","-1.24%","-3.54%","-2.12%","","-0.45%"
"12/27/2022","10462.19","10472.32","10340.73","10353.23","1.27%","-1.04%","-1.43%","-3.16%","-1.92%",true,"-0.60%"
"12/28/2022","10339.20","10414.82","10207.47","10213.29","2.03%","-1.22%","-1.66%","-3.71%","-1.75%",true,"-0.72%"
"12/29/2022","10321.46","10502.08","10301.06","10478.09","1.95%","1.52%","-1.61%","-2.64%","-0.74%","","-0.19%"
"12/30/2022","10368.37","10468.31","10324.70","10466.48","1.39%","0.95%","-1.56%","-2.24%","-0.88%",true,"-0.18%"
