"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"11/26/2018","7026.5","7083.93","7003.12","7081.85","1.15%","0.79%","-1.60%","-1.54%","-0.40%","",""
"11/27/2018","7041.23","7105.14","7014.36","7082.7","1.29%","0.59%","-1.49%","-1.31%","-0.04%","","-0.07%"
"11/28/2018","7135.08","7292.71","7090.98","7291.59","2.84%","2.19%","-1.15%","-0.66%","2.16%","","0.43%"
"11/29/2018","7267.37","7319.96","7217.69","7273.08","1.42%","0.08%","-0.90%","0.80%","2.22%","1","0.31%"
"11/30/2018","7279.3","7332.79","7255.68","7330.54","1.06%","0.70%","-0.63%","0.93%","2.00%","","0.40%"
"12/3/2018","7486.13","7486.51","7392.22","7441.51","1.28%","-0.60%","-0.29%","2.23%","3.53%","","0.59%"
"12/4/2018","7407.95","7421.11","7150.11","7158.43","3.79%","-3.37%","-0.35%","-0.95%","2.80%","1","-0.17%"
"12/6/2018","7017.05","7189.52","6984.34","7188.26","2.94%","2.44%","-0.35%","-3.18%","-0.34%","","-0.07%"
"12/7/2018","7163.49","7205.37","6945.27","6969.25","3.74%","-2.71%","-0.60%","-3.18%","0.45%","1","-0.57%"
"12/10/2018","6959.63","7047.62","6878.99","7020.52","2.45%","0.87%","-0.72%","-3.76%","-1.40%","","-0.35%"
"12/11/2018","7121.66","7129.83","6983.01","7031.83","2.10%","-1.26%","-0.78%","-2.04%","0.02%","","-0.27%"
"12/12/2018","7127","7197.29","7096.56","7098.31","1.42%","-0.40%","-0.75%","-0.38%","1.04%","","-0.07%"
"12/13/2018","7135.28","7154.64","7034.82","7070.33","1.70%","-0.91%","-0.75%","-1.12%","0.56%","1","-0.12%"
"12/14/2018","6986.37","7027.17","6898.99","6910.66","1.86%","-1.08%","-0.91%","-2.56%","-0.75%","1","-0.48%"
"12/17/2018","6886.46","6931.81","6710.01","6753.73","3.31%","-1.93%","-1.21%","-4.50%","-1.34%","1","-0.77%"
"12/18/2018","6809.82","6847.27","6733.71","6783.91","1.69%","-0.38%","-1.39%","-3.61%","-1.98%","","-0.57%"
"12/19/2018","6777.59","6868.86","6586.5","6636.83","4.29%","-2.08%","-1.68%","-4.92%","-0.85%","1","-0.83%"
"12/20/2018","6607.76","6666.2","6447.91","6528.41","3.39%","-1.20%","-2.01%","-6.02%","-2.84%","1","-0.96%"
"12/21/2018","6573.49","6586.68","6304.63","6332.99","4.47%","-3.66%","-2.48%","-6.92%","-2.75%","1","-1.28%"
"12/24/2018","6278.49","6355.18","6190.17","6192.92","2.67%","-1.36%","-2.99%","-7.28%","-4.81%","1","-1.43%"
"12/26/2018","6257.86","6555.53","6214.34","6554.36","5.49%","4.74%","-2.89%","-6.64%","-1.51%","","-0.30%"
"12/27/2018","6457.19","6583.01","6336.97","6579.49","3.88%","1.89%","-2.73%","-4.61%","-0.91%","","-0.19%"
"12/28/2018","6616.79","6684.18","6529.22","6584.52","2.37%","-0.49%","-2.57%","-1.57%","0.76%","","-0.15%"
"12/31/2018","6649.52","6659.96","6570.06","6635.28","1.37%","-0.21%","-2.34%","-0.96%","0.39%","","0.00%"
"1/2/2019","6506.91","6693.71","6506.88","6665.94","2.87%","2.44%","-2.10%","-1.99%","0.82%","","0.08%"
"1/3/2019","6584.77","6600.21","6457.13","6463.5","2.22%","-1.84%","-2.14%","-2.31%","-0.15%","1","-0.44%"
"1/4/2019","6567.14","6760.69","6554.24","6738.86","3.15%","2.61%","-1.79%","-1.16%","1.95%","","0.33%"
"1/7/2019","6757.53","6855.6","6741.4","6823.47","1.69%","0.98%","-1.40%","1.17%","2.88%","","0.48%"
"1/8/2019","6893.44","6909.58","6795.86","6897","1.67%","0.05%","-0.99%","1.40%","3.09%","","0.58%"
"1/9/2019","6923.06","6985.22","6899.56","6957.08","1.24%","0.49%","-0.60%","2.29%","3.56%","","0.63%"
"1/10/2019","6908.65","6991.37","6877.08","6986.07","1.66%","1.12%","-0.26%","1.36%","3.04%","","0.60%"
"1/11/2019","6947.46","6975.65","6933.6","6971.48","0.61%","0.35%","-0.02%","1.72%","2.34%","1","0.46%"
"1/14/2019","6908.03","6936.22","6887.48","6905.92","0.71%","-0.03%","0.09%","0.83%","1.54%","1","0.22%"
"1/15/2019","6931.39","7025.85","6928.12","7023.83","1.41%","1.33%","0.31%","0.95%","2.37%","","0.47%"
"1/16/2019","7033.75","7079.63","7028.12","7034.69","0.73%","0.01%","0.48%","1.98%","2.73%","","0.42%"
"1/17/2019","7010.13","7113.95","7003.62","7084.46","1.58%","1.06%","0.65%","1.15%","2.75%","","0.47%"
"1/18/2019","7134.1","7185.38","7096.62","7157.23","1.25%","0.32%","0.86%","1.92%","3.20%","","0.56%"
"1/22/2019","7109.57","7110.16","6979.81","7020.36","1.87%","-1.25%","0.85%","0.11%","1.98%","1","0.14%"
"1/23/2019","7061.65","7084.85","6953.23","7025.77","1.89%","-0.51%","0.84%","-0.40%","1.48%","","0.13%"
"1/24/2019","7042.25","7078.96","7029.95","7073.46","0.70%","0.44%","0.87%","0.48%","1.18%","","0.22%"
"1/25/2019","7128.18","7174.56","7111.09","7164.86","0.89%","0.51%","0.98%","1.23%","2.13%","","0.40%"
"1/28/2019","7075.01","7086.3","7034.25","7085.68","0.74%","0.15%","0.96%","-0.01%","0.73%","1","0.14%"
"1/29/2019","7087.49","7092.29","7011.47","7028.29","1.15%","-0.84%","0.87%","-0.32%","0.83%","1","-0.02%"
"1/30/2019","7094.79","7201.31","7065.57","7183.08","1.92%","1.24%","0.96%","0.10%","2.02%","","0.35%"
"1/31/2019","7208.17","7303.12","7205.95","7281.74","1.35%","1.02%","1.12%","1.55%","2.92%","","0.53%"
